age,age_group,job,marital,education,balance,balance_group,housing,loan,default,contact,month,day,duration,campaign,campaign_group,pdays,previous,poutcome,deposit
25,18-29,entrepreneur,single,tertiary,347,Low Balance,no,no,no,cellular,aug,20,267,1,1 Contact,-1,0,unknown,Yes
34,30-39,self-employed,single,tertiary,9962,High Balance,no,no,no,cellular,aug,20,474,1,1 Contact,-1,0,unknown,Yes
27,18-29,technician,single,tertiary,11862,High Balance,no,no,no,cellular,aug,20,217,1,1 Contact,87,6,failure,Yes
35,30-39,management,single,tertiary,1756,Medium Balance,no,no,no,cellular,aug,20,195,1,1 Contact,-1,0,unknown,Yes
45,40-49,housemaid,married,secondary,4068,Medium Balance,no,no,no,cellular,aug,20,184,1,1 Contact,-1,0,unknown,Yes
42,40-49,management,married,primary,5310,High Balance,yes,no,no,cellular,aug,20,273,1,1 Contact,90,3,success,Yes
20,18-29,student,single,secondary,215,Low Balance,no,no,no,cellular,aug,21,228,4,4-5 Contacts,183,1,other,Yes
60,60+,admin.,married,secondary,106,Low Balance,no,no,no,cellular,aug,21,216,3,2-3 Contacts,91,1,success,Yes
47,40-49,management,married,tertiary,0,Zero Balance,no,yes,no,cellular,aug,21,374,1,1 Contact,-1,0,unknown,Yes
25,18-29,student,single,secondary,469,Low Balance,no,no,no,cellular,aug,21,273,1,1 Contact,86,1,other,Yes
65,60+,retired,married,secondary,2326,Medium Balance,no,yes,no,cellular,aug,21,276,1,1 Contact,-1,0,unknown,Yes
50,50-59,technician,married,secondary,3370,Medium Balance,no,no,no,cellular,aug,21,531,2,2-3 Contacts,80,2,success,Yes
22,18-29,student,single,secondary,144,Low Balance,no,no,no,cellular,aug,21,116,1,1 Contact,-1,0,unknown,Yes
43,40-49,admin.,single,secondary,733,Low Balance,yes,no,no,cellular,aug,21,126,1,1 Contact,88,4,success,Yes
53,50-59,retired,divorced,tertiary,-309,Negative Balance,yes,no,no,cellular,aug,21,343,2,2-3 Contacts,428,2,success,Yes
71,60+,retired,divorced,secondary,5584,High Balance,no,no,no,cellular,aug,21,534,3,2-3 Contacts,-1,0,unknown,Yes
28,18-29,blue-collar,married,secondary,61,Low Balance,yes,no,no,cellular,aug,21,744,1,1 Contact,109,3,success,Yes
59,50-59,unemployed,married,secondary,1047,Medium Balance,no,no,no,cellular,aug,21,438,1,1 Contact,184,3,success,Yes
29,18-29,management,single,tertiary,265,Low Balance,no,no,no,cellular,aug,24,130,2,2-3 Contacts,94,1,success,Yes
51,50-59,technician,married,secondary,117,Low Balance,no,no,no,cellular,aug,24,467,2,2-3 Contacts,88,4,other,Yes
48,40-49,housemaid,married,tertiary,5473,High Balance,no,no,no,cellular,aug,24,232,2,2-3 Contacts,-1,0,unknown,Yes
37,30-39,blue-collar,married,primary,106,Low Balance,yes,no,no,cellular,aug,25,511,1,1 Contact,392,13,failure,Yes
37,30-39,technician,married,tertiary,127,Low Balance,yes,no,no,cellular,aug,25,192,1,1 Contact,193,1,success,Yes
64,60+,retired,married,tertiary,380,Low Balance,no,no,no,cellular,aug,25,479,1,1 Contact,-1,0,unknown,Yes
69,60+,retired,married,secondary,0,Zero Balance,no,no,no,cellular,aug,25,412,2,2-3 Contacts,-1,0,unknown,Yes
36,30-39,management,married,tertiary,255,Low Balance,no,no,no,cellular,aug,25,242,6,6+ Contacts,95,4,success,Yes
43,40-49,services,married,secondary,2145,Medium Balance,no,no,no,cellular,aug,25,291,2,2-3 Contacts,95,4,success,Yes
63,60+,housemaid,married,primary,91,Low Balance,no,no,no,telephone,aug,26,128,3,2-3 Contacts,-1,0,unknown,Yes
70,60+,retired,married,secondary,1853,Medium Balance,no,no,no,telephone,aug,26,314,1,1 Contact,-1,0,unknown,Yes
60,60+,technician,single,primary,11262,High Balance,no,no,no,cellular,aug,26,323,1,1 Contact,-1,0,unknown,Yes
86,60+,retired,divorced,primary,0,Zero Balance,no,no,no,telephone,aug,26,189,1,1 Contact,-1,0,unknown,Yes
72,60+,retired,married,secondary,1129,Medium Balance,no,no,no,cellular,aug,26,186,1,1 Contact,-1,0,unknown,Yes
60,60+,retired,married,tertiary,108,Low Balance,no,no,no,cellular,aug,26,624,1,1 Contact,-1,0,unknown,Yes
43,40-49,management,single,tertiary,1696,Medium Balance,yes,no,no,cellular,aug,26,257,1,1 Contact,474,3,failure,Yes
57,50-59,management,divorced,unknown,854,Low Balance,no,no,no,cellular,aug,27,700,4,4-5 Contacts,92,1,failure,Yes
28,18-29,management,single,tertiary,223,Low Balance,yes,no,no,telephone,aug,27,157,2,2-3 Contacts,119,1,other,Yes
36,30-39,blue-collar,single,secondary,40,Low Balance,yes,no,no,cellular,aug,27,259,3,2-3 Contacts,475,4,success,Yes
66,60+,retired,married,secondary,2048,Medium Balance,no,no,no,cellular,aug,27,212,1,1 Contact,-1,0,unknown,Yes
33,30-39,technician,single,tertiary,3689,Medium Balance,no,no,no,cellular,aug,27,445,3,2-3 Contacts,-1,0,unknown,Yes
36,30-39,technician,single,secondary,539,Low Balance,yes,no,no,cellular,aug,27,398,2,2-3 Contacts,477,1,failure,Yes
29,18-29,technician,single,secondary,590,Low Balance,no,no,no,cellular,aug,27,81,1,1 Contact,94,1,success,Yes
62,60+,unemployed,married,secondary,780,Low Balance,no,no,no,cellular,aug,28,162,2,2-3 Contacts,-1,0,unknown,Yes
34,30-39,blue-collar,married,secondary,1464,Medium Balance,yes,no,no,cellular,aug,28,207,3,2-3 Contacts,130,5,other,Yes
29,18-29,unemployed,single,tertiary,1311,Medium Balance,no,no,no,cellular,aug,28,622,1,1 Contact,-1,0,unknown,Yes
30,30-39,management,married,tertiary,7,Low Balance,yes,no,no,cellular,aug,28,173,1,1 Contact,164,4,other,Yes
32,30-39,technician,married,tertiary,636,Low Balance,yes,no,no,cellular,aug,28,370,1,1 Contact,116,4,success,Yes
39,30-39,blue-collar,single,primary,24277,High Balance,no,no,no,cellular,aug,28,261,1,1 Contact,-1,0,unknown,Yes
55,50-59,admin.,divorced,secondary,1872,Medium Balance,no,no,no,cellular,aug,28,155,2,2-3 Contacts,93,8,failure,Yes
36,30-39,management,single,tertiary,490,Low Balance,no,no,no,cellular,aug,28,207,8,6+ Contacts,98,1,failure,Yes
27,18-29,student,single,tertiary,118,Low Balance,no,no,no,cellular,aug,31,160,3,2-3 Contacts,98,1,failure,Yes
45,40-49,management,married,tertiary,4119,Medium Balance,yes,yes,no,telephone,aug,31,473,2,2-3 Contacts,283,1,success,Yes
55,50-59,management,married,unknown,1504,Medium Balance,yes,no,no,cellular,aug,31,186,3,2-3 Contacts,101,2,success,Yes
52,50-59,blue-collar,married,secondary,2087,Medium Balance,yes,no,no,cellular,aug,31,267,1,1 Contact,474,1,failure,Yes
49,40-49,management,single,tertiary,5689,High Balance,no,no,no,cellular,aug,31,470,1,1 Contact,97,3,failure,Yes
30,30-39,blue-collar,married,primary,201,Low Balance,yes,no,no,cellular,aug,31,219,1,1 Contact,157,12,failure,Yes
39,30-39,management,married,tertiary,119,Low Balance,yes,no,no,cellular,sep,1,265,2,2-3 Contacts,476,4,success,Yes
48,40-49,management,divorced,tertiary,17964,High Balance,yes,no,no,cellular,sep,1,120,1,1 Contact,98,5,success,Yes
36,30-39,management,married,tertiary,1113,Medium Balance,no,no,no,cellular,sep,1,212,1,1 Contact,-1,0,unknown,Yes
27,18-29,admin.,married,secondary,1596,Medium Balance,no,no,no,cellular,sep,1,82,1,1 Contact,-1,0,unknown,Yes
51,50-59,management,married,tertiary,2635,Medium Balance,no,no,no,cellular,sep,1,181,1,1 Contact,98,2,failure,Yes
48,40-49,technician,married,secondary,568,Low Balance,yes,no,no,cellular,sep,2,378,2,2-3 Contacts,386,1,success,Yes
70,60+,retired,married,secondary,2626,Medium Balance,no,no,no,cellular,sep,2,140,2,2-3 Contacts,-1,0,unknown,Yes
63,60+,retired,married,secondary,4752,Medium Balance,no,no,no,cellular,sep,2,233,2,2-3 Contacts,-1,0,unknown,Yes
34,30-39,services,single,secondary,528,Low Balance,yes,no,no,cellular,sep,2,121,3,2-3 Contacts,100,5,other,Yes
46,40-49,admin.,married,tertiary,2552,Medium Balance,no,no,no,cellular,sep,3,260,1,1 Contact,94,8,success,Yes
31,30-39,self-employed,single,tertiary,3343,Medium Balance,no,no,no,cellular,sep,3,365,1,1 Contact,94,1,success,Yes
32,30-39,admin.,married,secondary,995,Low Balance,no,no,no,cellular,sep,3,331,1,1 Contact,99,2,other,Yes
40,40-49,unemployed,single,tertiary,7968,High Balance,no,no,no,cellular,sep,3,733,1,1 Contact,93,1,success,Yes
30,30-39,admin.,single,secondary,0,Zero Balance,no,no,no,cellular,sep,4,316,3,2-3 Contacts,-1,0,unknown,Yes
55,50-59,management,married,primary,2587,Medium Balance,no,no,no,cellular,sep,4,328,2,2-3 Contacts,94,2,success,Yes
57,50-59,management,divorced,tertiary,6468,High Balance,yes,no,no,cellular,sep,4,730,1,1 Contact,157,4,failure,Yes
59,50-59,admin.,single,secondary,4744,Medium Balance,no,no,no,cellular,sep,4,879,1,1 Contact,-1,0,unknown,Yes
26,18-29,technician,single,secondary,1231,Medium Balance,yes,no,no,cellular,sep,4,230,1,1 Contact,93,7,success,Yes
73,60+,retired,married,unknown,3443,Medium Balance,no,no,no,telephone,sep,4,770,3,2-3 Contacts,-1,0,unknown,Yes
30,30-39,admin.,single,secondary,2568,Medium Balance,no,no,no,cellular,sep,4,563,1,1 Contact,100,4,other,Yes
64,60+,retired,married,tertiary,1644,Medium Balance,no,no,no,telephone,sep,7,569,4,4-5 Contacts,-1,0,unknown,Yes
36,30-39,technician,married,tertiary,1354,Medium Balance,no,no,no,cellular,sep,7,281,3,2-3 Contacts,97,2,success,Yes
55,50-59,admin.,married,secondary,602,Low Balance,no,no,no,cellular,sep,7,350,1,1 Contact,98,5,success,Yes
63,60+,retired,married,tertiary,1795,Medium Balance,no,no,no,cellular,sep,7,219,1,1 Contact,-1,0,unknown,Yes
52,50-59,technician,married,secondary,0,Zero Balance,yes,no,no,cellular,sep,7,211,1,1 Contact,294,1,failure,Yes
34,30-39,management,single,tertiary,268,Low Balance,no,no,no,cellular,sep,7,587,1,1 Contact,-1,0,unknown,Yes
36,30-39,services,married,secondary,52,Low Balance,yes,no,no,cellular,sep,7,351,1,1 Contact,95,6,success,Yes
31,30-39,management,single,tertiary,924,Low Balance,no,no,no,cellular,sep,7,231,1,1 Contact,94,3,success,Yes
47,40-49,retired,single,primary,3033,Medium Balance,no,no,no,cellular,sep,8,293,1,1 Contact,-1,0,unknown,Yes
50,50-59,admin.,married,tertiary,6574,High Balance,no,no,no,cellular,sep,8,495,1,1 Contact,92,3,success,Yes
70,60+,retired,divorced,secondary,0,Zero Balance,no,no,no,cellular,sep,8,206,1,1 Contact,-1,0,unknown,Yes
18,18-29,student,single,unknown,108,Low Balance,no,no,no,cellular,sep,8,169,1,1 Contact,-1,0,unknown,Yes
33,30-39,self-employed,married,secondary,409,Low Balance,no,no,no,cellular,sep,8,165,1,1 Contact,97,4,success,Yes
24,18-29,technician,single,secondary,726,Low Balance,no,no,no,cellular,sep,8,445,2,2-3 Contacts,-1,0,unknown,Yes
25,18-29,admin.,single,secondary,1871,Medium Balance,no,no,no,cellular,sep,8,260,1,1 Contact,96,1,success,Yes
26,18-29,management,single,tertiary,1094,Medium Balance,yes,no,no,cellular,sep,8,137,1,1 Contact,-1,0,unknown,Yes
32,30-39,management,single,tertiary,2915,Medium Balance,no,no,no,cellular,sep,8,519,1,1 Contact,131,2,failure,Yes
25,18-29,student,single,unknown,480,Low Balance,no,no,no,cellular,sep,8,140,1,1 Contact,-1,0,unknown,Yes
58,50-59,management,married,tertiary,1227,Medium Balance,no,no,no,cellular,sep,8,400,2,2-3 Contacts,95,1,success,Yes
42,40-49,management,married,tertiary,1205,Medium Balance,no,no,no,telephone,sep,8,376,2,2-3 Contacts,-1,0,unknown,Yes
30,30-39,blue-collar,single,secondary,161,Low Balance,no,yes,no,telephone,sep,8,298,3,2-3 Contacts,-1,0,unknown,Yes
76,60+,retired,divorced,primary,802,Low Balance,no,no,no,cellular,sep,9,475,5,4-5 Contacts,-1,0,unknown,Yes
79,60+,retired,married,secondary,723,Low Balance,no,no,no,telephone,sep,9,276,1,1 Contact,79,3,failure,Yes
70,60+,retired,married,primary,6538,High Balance,no,no,no,cellular,sep,9,394,1,1 Contact,-1,0,unknown,Yes
30,30-39,management,single,tertiary,147,Low Balance,no,no,no,cellular,sep,9,234,1,1 Contact,100,1,failure,Yes
60,60+,retired,married,secondary,0,Zero Balance,no,no,no,cellular,sep,9,408,1,1 Contact,-1,0,unknown,Yes
51,50-59,unemployed,married,secondary,1416,Medium Balance,no,no,no,cellular,sep,9,345,1,1 Contact,-1,0,unknown,Yes
71,60+,retired,married,tertiary,14220,High Balance,yes,no,no,cellular,sep,9,397,1,1 Contact,-1,0,unknown,Yes
31,30-39,management,single,tertiary,12569,High Balance,no,no,no,cellular,sep,9,344,1,1 Contact,295,1,failure,Yes
32,30-39,admin.,single,secondary,555,Low Balance,yes,no,no,cellular,sep,9,344,1,1 Contact,-1,0,unknown,Yes
34,30-39,management,married,tertiary,158,Low Balance,no,no,no,cellular,sep,9,278,2,2-3 Contacts,132,4,failure,Yes
28,18-29,admin.,single,secondary,261,Low Balance,yes,yes,no,cellular,sep,9,259,2,2-3 Contacts,98,4,success,Yes
45,40-49,management,married,tertiary,786,Low Balance,no,no,no,cellular,sep,10,84,3,2-3 Contacts,-1,0,unknown,Yes
53,50-59,entrepreneur,married,primary,27,Low Balance,yes,no,no,telephone,sep,10,230,3,2-3 Contacts,-1,0,unknown,Yes
38,30-39,unknown,single,tertiary,0,Zero Balance,no,no,no,cellular,sep,11,260,3,2-3 Contacts,95,3,success,Yes
56,50-59,admin.,single,secondary,2815,Medium Balance,yes,no,no,cellular,sep,11,212,1,1 Contact,-1,0,unknown,Yes
42,40-49,technician,married,secondary,3082,Medium Balance,no,no,no,cellular,sep,11,285,1,1 Contact,-1,0,unknown,Yes
47,40-49,technician,married,secondary,1233,Medium Balance,yes,no,no,unknown,sep,11,91,1,1 Contact,100,2,other,Yes
73,60+,retired,married,unknown,739,Low Balance,no,no,no,cellular,sep,11,210,1,1 Contact,-1,0,unknown,Yes
46,40-49,blue-collar,married,secondary,640,Low Balance,yes,no,no,cellular,sep,11,108,2,2-3 Contacts,129,2,failure,Yes
73,60+,retired,married,tertiary,1843,Medium Balance,no,no,no,cellular,sep,11,106,2,2-3 Contacts,-1,0,unknown,Yes
28,18-29,blue-collar,single,secondary,322,Low Balance,no,no,no,telephone,sep,11,240,2,2-3 Contacts,95,3,other,Yes
46,40-49,management,married,tertiary,7331,High Balance,no,no,no,cellular,sep,11,658,4,4-5 Contacts,95,2,other,Yes
74,60+,retired,married,primary,1765,Medium Balance,no,no,no,telephone,sep,11,290,2,2-3 Contacts,-1,0,unknown,Yes
71,60+,retired,divorced,tertiary,1236,Medium Balance,yes,no,yes,cellular,sep,14,335,4,4-5 Contacts,-1,0,unknown,Yes
41,40-49,admin.,divorced,secondary,6046,High Balance,yes,yes,no,telephone,sep,14,185,2,2-3 Contacts,-1,0,unknown,Yes
73,60+,retired,married,primary,934,Low Balance,no,no,no,cellular,sep,14,961,5,4-5 Contacts,-1,0,unknown,Yes
47,40-49,technician,divorced,secondary,1013,Medium Balance,no,no,no,cellular,sep,15,170,1,1 Contact,92,3,failure,Yes
49,40-49,technician,divorced,tertiary,596,Low Balance,yes,no,no,telephone,sep,15,722,1,1 Contact,-1,0,unknown,Yes
40,40-49,admin.,married,secondary,4775,Medium Balance,no,no,no,cellular,sep,15,215,1,1 Contact,-1,0,unknown,Yes
57,50-59,blue-collar,married,primary,3109,Medium Balance,no,no,no,cellular,sep,15,107,2,2-3 Contacts,105,2,success,Yes
50,50-59,housemaid,married,secondary,388,Low Balance,no,no,no,cellular,sep,15,173,2,2-3 Contacts,99,4,failure,Yes
34,30-39,blue-collar,married,secondary,262,Low Balance,no,no,no,cellular,sep,15,89,2,2-3 Contacts,106,1,success,Yes
56,50-59,services,married,secondary,654,Low Balance,no,no,no,cellular,sep,15,875,1,1 Contact,-1,0,unknown,Yes
32,30-39,technician,single,tertiary,1855,Medium Balance,no,no,no,cellular,sep,15,126,2,2-3 Contacts,134,1,other,Yes
50,50-59,management,divorced,tertiary,810,Low Balance,no,no,no,cellular,sep,15,91,1,1 Contact,103,3,success,Yes
54,50-59,unemployed,divorced,secondary,1664,Medium Balance,no,no,no,cellular,sep,15,106,1,1 Contact,105,3,success,Yes
26,18-29,management,single,tertiary,362,Low Balance,no,no,no,cellular,sep,15,925,1,1 Contact,104,2,success,Yes
40,40-49,technician,married,tertiary,1293,Medium Balance,no,no,no,cellular,sep,16,1702,3,2-3 Contacts,105,2,success,Yes
29,18-29,management,single,tertiary,874,Low Balance,yes,no,no,cellular,sep,16,152,1,1 Contact,103,1,success,Yes
52,50-59,housemaid,married,primary,10943,High Balance,no,no,no,cellular,sep,16,292,1,1 Contact,-1,0,unknown,Yes
38,30-39,technician,married,secondary,4539,Medium Balance,no,no,no,cellular,sep,16,387,1,1 Contact,-1,0,unknown,Yes
46,40-49,management,married,tertiary,2817,Medium Balance,no,no,no,cellular,sep,17,543,1,1 Contact,-1,0,unknown,Yes
26,18-29,management,single,tertiary,1646,Medium Balance,no,no,no,cellular,sep,18,890,5,4-5 Contacts,-1,0,unknown,Yes
25,18-29,management,single,tertiary,808,Low Balance,no,no,no,cellular,sep,18,267,2,2-3 Contacts,114,2,failure,Yes
70,60+,retired,married,tertiary,44,Low Balance,no,no,no,cellular,sep,18,1104,2,2-3 Contacts,88,2,other,Yes
83,60+,retired,married,primary,425,Low Balance,no,no,no,telephone,sep,22,773,1,1 Contact,92,2,success,Yes
43,40-49,management,divorced,tertiary,2367,Medium Balance,no,no,no,cellular,sep,22,83,1,1 Contact,113,3,success,Yes
45,40-49,blue-collar,married,secondary,10252,High Balance,no,no,no,cellular,sep,22,173,1,1 Contact,141,2,success,Yes
37,30-39,admin.,single,tertiary,1000,Low Balance,yes,no,no,cellular,sep,22,239,1,1 Contact,99,2,success,Yes
71,60+,retired,divorced,secondary,4380,Medium Balance,no,no,no,cellular,sep,22,369,1,1 Contact,-1,0,unknown,Yes
27,18-29,management,single,tertiary,20585,High Balance,no,no,no,cellular,sep,23,299,1,1 Contact,100,1,success,Yes
47,40-49,admin.,married,secondary,2601,Medium Balance,no,no,no,cellular,sep,24,261,1,1 Contact,-1,0,unknown,Yes
42,40-49,management,divorced,tertiary,238,Low Balance,no,no,no,cellular,sep,25,692,1,1 Contact,-1,0,unknown,Yes
77,60+,retired,divorced,secondary,0,Zero Balance,no,no,no,cellular,sep,25,210,1,1 Contact,-1,0,unknown,Yes
61,60+,management,married,tertiary,3371,Medium Balance,no,no,no,cellular,sep,28,299,2,2-3 Contacts,-1,0,unknown,Yes
57,50-59,management,married,tertiary,10583,High Balance,no,no,no,cellular,sep,28,341,3,2-3 Contacts,98,3,success,Yes
34,30-39,management,married,tertiary,16,Low Balance,yes,no,no,telephone,sep,29,316,1,1 Contact,119,1,other,Yes
40,40-49,blue-collar,married,secondary,1451,Medium Balance,no,no,no,cellular,sep,30,117,1,1 Contact,121,1,success,Yes
84,60+,entrepreneur,married,secondary,0,Zero Balance,no,no,no,telephone,sep,30,992,2,2-3 Contacts,-1,0,unknown,Yes
26,18-29,student,single,secondary,132,Low Balance,no,no,no,cellular,oct,1,194,1,1 Contact,119,1,success,Yes
37,30-39,technician,married,unknown,189,Low Balance,no,no,no,cellular,oct,1,238,1,1 Contact,107,2,success,Yes
47,40-49,management,married,tertiary,288,Low Balance,no,no,no,cellular,oct,1,101,1,1 Contact,-1,0,unknown,Yes
37,30-39,management,single,tertiary,1027,Medium Balance,yes,no,no,cellular,oct,1,137,1,1 Contact,119,1,failure,Yes
28,18-29,management,single,tertiary,6784,High Balance,no,no,no,cellular,oct,1,502,1,1 Contact,115,3,other,Yes
54,50-59,management,married,tertiary,1464,Medium Balance,no,no,no,cellular,oct,2,194,2,2-3 Contacts,94,1,success,Yes
54,50-59,management,married,tertiary,8295,High Balance,no,no,no,cellular,oct,2,849,2,2-3 Contacts,119,1,success,Yes
61,60+,retired,married,secondary,2917,Medium Balance,no,no,no,cellular,oct,6,215,1,1 Contact,-1,0,unknown,Yes
30,30-39,technician,single,secondary,158,Low Balance,no,no,no,cellular,oct,6,144,1,1 Contact,-1,0,unknown,Yes
60,60+,retired,married,primary,1588,Medium Balance,no,no,no,cellular,oct,6,728,1,1 Contact,-1,0,unknown,Yes
44,40-49,management,married,unknown,282,Low Balance,no,no,no,cellular,oct,6,296,3,2-3 Contacts,-1,0,unknown,Yes
33,30-39,management,single,tertiary,5437,High Balance,no,no,no,cellular,oct,7,201,1,1 Contact,58,3,failure,Yes
25,18-29,admin.,single,tertiary,1185,Medium Balance,no,no,no,cellular,oct,7,290,1,1 Contact,114,1,failure,Yes
54,50-59,unknown,married,unknown,895,Low Balance,no,no,no,cellular,oct,7,335,1,1 Contact,-1,0,unknown,Yes
24,18-29,blue-collar,single,secondary,1857,Medium Balance,yes,no,no,cellular,oct,8,147,1,1 Contact,92,5,other,Yes
36,30-39,technician,married,tertiary,4596,Medium Balance,yes,no,no,cellular,oct,8,234,2,2-3 Contacts,175,2,success,Yes
58,50-59,retired,married,primary,565,Low Balance,no,no,no,telephone,oct,8,153,1,1 Contact,93,1,success,Yes
33,30-39,management,single,tertiary,1781,Medium Balance,no,no,no,cellular,oct,8,611,2,2-3 Contacts,183,1,success,Yes
27,18-29,admin.,married,secondary,3415,Medium Balance,no,no,no,cellular,oct,9,266,3,2-3 Contacts,184,1,success,Yes
60,60+,admin.,divorced,secondary,12039,High Balance,no,no,no,telephone,oct,12,261,1,1 Contact,187,1,success,Yes
56,50-59,unemployed,married,secondary,12,Low Balance,no,no,no,cellular,oct,12,511,3,2-3 Contacts,187,1,failure,Yes
25,18-29,technician,single,secondary,139,Low Balance,no,yes,no,cellular,oct,12,138,1,1 Contact,-1,0,unknown,Yes
21,18-29,student,single,secondary,2488,Medium Balance,no,no,no,cellular,oct,12,180,1,1 Contact,-1,0,unknown,Yes
73,60+,retired,divorced,secondary,7111,High Balance,yes,no,no,cellular,oct,12,146,1,1 Contact,-1,0,unknown,Yes
67,60+,management,divorced,tertiary,361,Low Balance,no,no,no,cellular,oct,13,411,2,2-3 Contacts,-1,0,unknown,Yes
51,50-59,entrepreneur,divorced,tertiary,2109,Medium Balance,no,no,no,cellular,oct,13,79,2,2-3 Contacts,-1,0,unknown,Yes
48,40-49,management,married,tertiary,1093,Medium Balance,yes,yes,no,cellular,oct,13,1226,2,2-3 Contacts,-1,0,unknown,Yes
35,30-39,management,single,tertiary,2646,Medium Balance,no,no,no,cellular,oct,13,221,1,1 Contact,182,1,success,Yes
61,60+,self-employed,divorced,tertiary,6,Low Balance,yes,no,no,cellular,oct,13,210,1,1 Contact,182,2,success,Yes
35,30-39,technician,single,tertiary,670,Low Balance,no,no,no,cellular,oct,13,301,2,2-3 Contacts,-1,0,unknown,Yes
36,30-39,admin.,divorced,secondary,592,Low Balance,no,no,no,cellular,oct,13,204,2,2-3 Contacts,99,5,failure,Yes
83,60+,retired,single,primary,1965,Medium Balance,no,no,no,telephone,oct,13,1003,3,2-3 Contacts,-1,0,unknown,Yes
50,50-59,management,married,primary,313,Low Balance,no,no,no,telephone,oct,14,958,1,1 Contact,-1,0,unknown,Yes
66,60+,housemaid,married,primary,40,Low Balance,no,no,no,telephone,oct,14,290,2,2-3 Contacts,-1,0,unknown,Yes
58,50-59,technician,married,primary,4198,Medium Balance,no,no,no,cellular,oct,15,441,5,4-5 Contacts,246,5,failure,Yes
30,30-39,management,single,tertiary,536,Low Balance,no,no,no,cellular,oct,15,244,1,1 Contact,105,1,success,Yes
54,50-59,blue-collar,married,primary,1311,Medium Balance,no,no,no,telephone,oct,15,485,3,2-3 Contacts,184,3,failure,Yes
26,18-29,admin.,single,secondary,766,Low Balance,no,no,no,cellular,oct,15,457,2,2-3 Contacts,-1,0,unknown,Yes
43,40-49,services,married,primary,2557,Medium Balance,yes,no,no,telephone,oct,15,166,3,2-3 Contacts,183,5,success,Yes
40,40-49,unemployed,single,tertiary,79,Low Balance,no,no,no,cellular,oct,15,570,1,1 Contact,135,1,failure,Yes
57,50-59,management,married,tertiary,1318,Medium Balance,no,no,no,cellular,oct,16,115,1,1 Contact,185,2,failure,Yes
75,60+,retired,married,secondary,3771,Medium Balance,no,no,no,telephone,oct,16,186,1,1 Contact,183,1,failure,Yes
77,60+,retired,married,tertiary,0,Zero Balance,no,no,no,cellular,oct,16,847,1,1 Contact,60,1,success,Yes
31,30-39,management,married,tertiary,6138,High Balance,no,no,no,cellular,oct,16,154,2,2-3 Contacts,119,5,failure,Yes
22,18-29,services,single,secondary,129,Low Balance,no,no,no,cellular,oct,16,258,1,1 Contact,-1,0,unknown,Yes
50,50-59,management,married,tertiary,469,Low Balance,no,no,no,cellular,oct,16,170,1,1 Contact,183,1,success,Yes
27,18-29,management,married,tertiary,893,Low Balance,no,no,no,cellular,oct,16,154,2,2-3 Contacts,-1,0,unknown,Yes
73,60+,retired,married,unknown,519,Low Balance,no,no,no,telephone,oct,16,434,1,1 Contact,57,1,failure,Yes
37,30-39,services,married,secondary,4017,Medium Balance,no,no,no,cellular,oct,16,156,1,1 Contact,-1,0,unknown,Yes
44,40-49,technician,single,tertiary,643,Low Balance,no,no,no,cellular,oct,16,324,1,1 Contact,143,3,failure,Yes
40,40-49,technician,married,secondary,2338,Medium Balance,no,no,no,cellular,oct,16,717,2,2-3 Contacts,-1,0,unknown,Yes
61,60+,management,married,tertiary,0,Zero Balance,no,no,no,cellular,oct,16,136,2,2-3 Contacts,-1,0,unknown,Yes
61,60+,technician,divorced,secondary,6481,High Balance,no,no,no,cellular,oct,19,131,1,1 Contact,-1,0,unknown,Yes
47,40-49,blue-collar,married,secondary,820,Low Balance,no,no,no,cellular,oct,19,98,1,1 Contact,-1,0,unknown,Yes
47,40-49,services,single,unknown,1784,Medium Balance,no,no,no,cellular,oct,19,385,2,2-3 Contacts,-1,0,unknown,Yes
76,60+,housemaid,divorced,primary,1411,Medium Balance,no,no,no,telephone,oct,19,233,2,2-3 Contacts,187,3,success,Yes
30,30-39,student,single,tertiary,7529,High Balance,no,no,no,cellular,oct,19,328,1,1 Contact,-1,0,unknown,Yes
39,30-39,technician,married,tertiary,206,Low Balance,no,no,no,cellular,oct,20,148,2,2-3 Contacts,195,2,success,Yes
72,60+,retired,married,primary,1388,Medium Balance,no,no,no,telephone,oct,20,513,1,1 Contact,-1,0,unknown,Yes
77,60+,retired,married,unknown,1807,Medium Balance,no,no,no,telephone,oct,20,373,1,1 Contact,-1,0,unknown,Yes
36,30-39,technician,married,secondary,480,Low Balance,no,no,no,cellular,oct,20,213,1,1 Contact,-1,0,unknown,Yes
65,60+,retired,married,secondary,571,Low Balance,yes,no,no,cellular,oct,20,349,1,1 Contact,183,2,success,Yes
54,50-59,technician,married,secondary,3994,Medium Balance,no,yes,no,cellular,oct,20,595,2,2-3 Contacts,187,2,success,Yes
46,40-49,admin.,single,secondary,1693,Medium Balance,yes,no,no,cellular,oct,20,427,1,1 Contact,-1,0,unknown,Yes
28,18-29,management,single,tertiary,80,Low Balance,no,no,no,cellular,oct,20,676,2,2-3 Contacts,146,2,failure,Yes
61,60+,management,married,tertiary,267,Low Balance,no,no,no,cellular,oct,21,192,3,2-3 Contacts,184,1,success,Yes
53,50-59,housemaid,married,primary,2581,Medium Balance,no,no,no,cellular,oct,21,828,1,1 Contact,189,1,failure,Yes
27,18-29,student,single,tertiary,1134,Medium Balance,no,no,no,cellular,oct,21,825,1,1 Contact,183,4,success,Yes
